Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Alt Text
1-2I,"Lotus Flower Band","Sterling silver lotus flower band.  Made by Carlo Biagi",Carlo Biagi,Bead,"Nature, Garden,Carlo Biagi",TRUE,Material,"Sterling Silver",,,,,1-2I,6,shopify,2,deny,manual,21.6,36,TRUE,TRUE,,http://cdn.shopify.com/s/files/1/0234/5347/files/1-2I.jpg,"Lotus Flower Band"
1-2J,"'Daisy Garden'","Sterling silver 'daisy garden'.  Made by Ohm",Ohm,Bead,"Nature, Garden,Ohm",TRUE,Material,"Sterling Silver",,,,,1-2J,6,shopify,1,deny,manual,30,30,TRUE,TRUE,,http://cdn.shopify.com/s/files/1/0234/5347/files/1-2J.jpg,"'Daisy Garden'"
1-3A,"Flowers","Sterling silver flowers.  Made by Moress",Moress,Bead,"Nature, Garden,Moress",TRUE,Material,"Sterling Silver",,,,,1-3A,6,shopify,1,deny,manual,21.6,36,TRUE,TRUE,,http://cdn.shopify.com/s/files/1/0234/5347/files/1-3A.jpg,"Flowers"
1-3B,"Flower & Leaf","Sterling silver flower & leaf.  Made by Novo",Novo,Bead,"Nature, Garden,Novo",TRUE,Material,"Sterling Silver",,,,,1-3B,6,shopify,1,deny,manual,28.2,47,TRUE,TRUE,,http://cdn.shopify.com/s/files/1/0234/5347/files/1-3B.jpg,"Flower & Leaf"
1-3C,"Flowers, 'Growing Garden'","Sterling silver flowers, 'growing garden'.  Made by Novo",Novo,Bead,"Nature, Garden,Novo",TRUE,Material,"Sterling Silver",,,,,1-3C,6,shopify,1,deny,manual,22.2,37,TRUE,TRUE,,http://cdn.shopify.com/s/files/1/0234/5347/files/1-3C.jpg,"Flowers, 'Growing Garden'"
1-3D,"Flower Baskety","Sterling silver flower baskety.  Made by Carlo Biagi",Carlo Biagi,Bead,"Nature, Garden,Carlo Biagi",TRUE,Material,"Sterling Silver",,,,,1-3D,6,shopify,3,deny,manual,21.6,36,TRUE,TRUE,,http://cdn.shopify.com/s/files/1/0234/5347/files/1-3D.jpg,"Flower Baskety"
1-3E,"Flower Bouquet","Sterling silver flower bouquet.  Made by Novo",Novo,Bead,"Nature, Garden,Novo",TRUE,Material,"Sterling Silver",,,,,1-3E,6,shopify,1,deny,manual,31.2,52,TRUE,TRUE,,http://cdn.shopify.com/s/files/1/0234/5347/files/1-3E.jpg,"Flower Bouquet"
1-3F,"Mushrooms","Sterling silver mushrooms.  Made by Novo",Novo,Bead,"Nature, Garden,Novo",TRUE,Material,"Sterling Silver",,,,,1-3F,6,shopify,1,deny,manual,31.2,52,TRUE,TRUE,,http://cdn.shopify.com/s/files/1/0234/5347/files/1-3F.jpg,"Mushrooms"
1-3G,"Flower Wreath","Sterling silver flower wreath.  Made by Novo",Novo,Bead,"Nature, Garden,Novo",TRUE,Material,"Sterling Silver",,,,,1-3G,6,shopify,1,deny,manual,31.2,52,TRUE,TRUE,,http://cdn.shopify.com/s/files/1/0234/5347/files/1-3G.jpg,"Flower Wreath"
1-3H,"Leaf Dangle","Sterling silver leaf dangle.  Made by Israelilink",Israelilink,Bead,"Nature, Garden,Israelilink",TRUE,Material,"Sterling Silver",,,,,1-3H,6,shopify,2,deny,manual,21.6,36,TRUE,TRUE,,http://cdn.shopify.com/s/files/1/0234/5347/files/1-3H.jpg,"Leaf Dangle"
1-3I,"Floral Bead","Sterling silver floral bead.  Made by Zable",Zable,Bead,"Nature, Garden,Zable",TRUE,Material,"Sterling Silver",,,,,1-3I,6,shopify,1,deny,manual,21.6,36,TRUE,TRUE,,http://cdn.shopify.com/s/files/1/0234/5347/files/1-3I.jpg,"Floral Bead"
1-3J,"Floral Peace Sign","Sterling silver floral peace sign.  Made by Carlo Biagi",Carlo Biagi,Bead,"Nature, Garden,Carlo Biagi",TRUE,Material,"Sterling Silver",,,,,1-3J,6,shopify,2,deny,manual,21.6,36,TRUE,TRUE,,http://cdn.shopify.com/s/files/1/0234/5347/files/1-3J.jpg,"Floral Peace Sign"
1-4A,"Mushroom House","Sterling silver mushroom house.  Made by Ohm",Ohm,Bead,"Nature, Garden,Ohm",TRUE,Material,"Sterling Silver",,,,,1-4A,6,shopify,2,deny,manual,35,35,TRUE,TRUE,,http://cdn.shopify.com/s/files/1/0234/5347/files/1-4A.jpg,"Mushroom House"
1-4B,"Mushroom","Sterling silver mushroom.  Made by Carlo Biagi",Carlo Biagi,Bead,"Nature, Garden,Carlo Biagi",TRUE,Material,"Sterling Silver",,,,,1-4B,6,shopify,3,deny,manual,21.6,36,TRUE,TRUE,,http://cdn.shopify.com/s/files/1/0234/5347/files/1-4B.jpg,"Mushroom"
1-4C,"Acorn","Sterling silver acorn.  Made by Halia",Halia,Bead,"Nature, Garden,Halia",TRUE,Material,"Sterling Silver",,,,,1-4C,6,shopify,2,deny,manual,21.6,36,TRUE,TRUE,,http://cdn.shopify.com/s/files/1/0234/5347/files/1-4C.jpg,"Acorn"
1-4D,"Acorn","Sterling silver acorn.  Made by Ohm",Ohm,Bead,"Nature, Garden,Ohm",TRUE,Material,"Sterling Silver",,,,,1-4D,6,shopify,3,deny,manual,35,35,TRUE,TRUE,,http://cdn.shopify.com/s/files/1/0234/5347/files/1-4D.jpg,"Acorn"
1-4E,"Fern Leaves","Sterling silver fern leaves.  Made by Zable",Zable,Bead,"Nature, Garden,Zable",TRUE,Material,"Sterling Silver",,,,,1-4E,6,shopify,1,deny,manual,21.6,36,TRUE,TRUE,,http://cdn.shopify.com/s/files/1/0234/5347/files/1-4E.jpg,"Fern Leaves"
1-4F,"'Olive Branch'","Sterling silver 'olive branch'.  Made by Ohm",Ohm,Bead,"Nature, Garden,Ohm",TRUE,Material,"Sterling Silver",,,,,1-4F,6,shopify,1,deny,manual,30,30,TRUE,TRUE,,http://cdn.shopify.com/s/files/1/0234/5347/files/1-4F.jpg,"'Olive Branch'"
1-4G,"'Maple Leaf'","Sterling silver 'maple leaf'.  Made by Ohm",Ohm,Bead,"Nature, Garden,Ohm",TRUE,Material,"Sterling Silver",,,,,1-4G,6,shopify,2,deny,manual,30,30,TRUE,TRUE,,http://cdn.shopify.com/s/files/1/0234/5347/files/1-4G.jpg,"'Maple Leaf'"
1-4H,"'Fern  Gully'","Sterling silver 'fern  gully'.  Made by Ohm",Ohm,Bead,"Nature, Garden,Ohm",TRUE,Material,"Sterling Silver",,,,,1-4H,6,shopify,1,deny,manual,30,30,TRUE,TRUE,,http://cdn.shopify.com/s/files/1/0234/5347/files/1-4H.jpg,"'Fern  Gully'"
1-4I,"Leaves","Sterling silver leaves.  Made by Carlo Biagi",Carlo Biagi,Bead,"Nature, Garden,Carlo Biagi",TRUE,Material,"Sterling Silver",,,,,1-4I,6,shopify,3,deny,manual,21.6,36,TRUE,TRUE,,http://cdn.shopify.com/s/files/1/0234/5347/files/1-4I.jpg,"Leaves"
1-4J,"Ball Of Leaves","Sterling silver ball of leaves.  Made by Carlo Biagi",Carlo Biagi,Bead,"Nature, Garden,Carlo Biagi",TRUE,Material,"Sterling Silver",,,,,1-4J,6,shopify,2,deny,manual,21.6,36,TRUE,TRUE,,http://cdn.shopify.com/s/files/1/0234/5347/files/1-4J.jpg,"Ball Of Leaves"
1-5A,"Maple Leaf","Sterling silver maple leaf.  Made by Carlo Biagi",Carlo Biagi,Bead,"Nature, Garden,Carlo Biagi",TRUE,Material,"Sterling Silver",,,,,1-5A,6,shopify,1,deny,manual,21.6,36,TRUE,TRUE,,http://cdn.shopify.com/s/files/1/0234/5347/files/1-5A.jpg,"Maple Leaf"
1-5B,"Owl In A Tree","Sterling silver owl in a tree.  Made by Zable",Zable,Bead,"Nature, Animals,Zable",TRUE,Material,"Sterling Silver",,,,,1-5B,6,shopify,2,deny,manual,21.6,36,TRUE,TRUE,,http://cdn.shopify.com/s/files/1/0234/5347/files/1-5B.jpg,"Owl In A Tree"
1-5C,"Bird In A Tree","Sterling silver bird in a tree.  Made by Zable",Zable,Bead,"Nature, Animals,Zable",TRUE,Material,"Sterling Silver",,,,,1-5C,6,shopify,2,deny,manual,21.6,36,TRUE,TRUE,,http://cdn.shopify.com/s/files/1/0234/5347/files/1-5C.jpg,"Bird In A Tree"
1-5D,"Watering Can","Sterling silver watering can.  Made by Zable",Zable,Bead,"Garden,Zable",TRUE,Material,"Sterling Silver",,,,,1-5D,6,shopify,1,deny,manual,21.6,36,TRUE,TRUE,,http://cdn.shopify.com/s/files/1/0234/5347/files/1-5D.jpg,"Watering Can"
1-5E,"Leprechaun","Sterling silver leprechaun.  Made by Zable",Zable,Bead,"Fantasy, Good Luck,Zable",TRUE,Material,"Sterling Silver",,,,,1-5E,6,shopify,1,deny,manual,21.6,36,TRUE,TRUE,,http://cdn.shopify.com/s/files/1/0234/5347/files/1-5E.jpg,"Leprechaun"
1-5F,"Three Leaf Clover","Sterling silver three leaf clover.  Made by Zable",Zable,Bead,"Nature, Garden,Zable",TRUE,Material,"Sterling Silver",,,,,1-5F,6,shopify,1,deny,manual,21.6,36,TRUE,TRUE,,http://cdn.shopify.com/s/files/1/0234/5347/files/1-5F.jpg,"Three Leaf Clover"
1-5G,"Large Three Leaf Clover","Sterling silver large three leaf clover.  Made by Zable",Zable,Bead,"Nature, Garden,Zable",TRUE,Material,"Sterling Silver",,,,,1-5G,6,shopify,1,deny,manual,21.6,36,TRUE,TRUE,,http://cdn.shopify.com/s/files/1/0234/5347/files/1-5G.jpg,"Large Three Leaf Clover"
