0,28,21
1,509,20
2,996,21
12,995,506
11,510,506
10,29,507
10,28,508
11,510,505
12,995,506
3,1479,21
4,1963,21
5,2451,21
15,2448,505
14,1961,505
13,1478,506
6,2942,21
16,2938,505
17,3420,505
7,3424,25
8,3907,25
18,3904,508
9,4388,26
19,4384,510
39,4381,1480
29,4381,987
28,3900,987
38,3898,1477
37,3413,1474
27,3417,986
36,2931,1474
26,2935,985
25,2446,985
35,2442,1472
34,1959,1473
24,1960,984
33,1478,1472
23,1477,983
22,994,984
32,994,1473
31,509,1471
21,509,986
30,24,1473
20,25,985
40,27,1953
50,27,2442
51,512,2440
41,512,1951
42,994,1953
52,993,2440
53,1472,2443
43,1476,1953
44,1956,1953
54,1957,2443
45,2442,1955
55,2439,2444
46,2930,1957
56,2928,2446
47,3409,1956
57,3405,2446
58,3890,2450
48,3894,1962
49,4377,1963
59,4370,2449
69,4367,2932
68,3885,2934
67,3398,2932
66,2922,2932
65,2436,2931
64,1952,2932
63,1471,2931
62,995,2928
61,509,2929
60,25,2931
0,31,25
1,513,24
10,30,511
11,513,509
2,998,24
12,998,507
3,1483,23
4,1966,24
5,2454,23
13,1481,508
14,1968,510
15,2452,508
6,2946,25
16,2942,508
17,3424,509
7,3428,28
8,3910,29
18,3907,511
19,4388,513
9,4390,30
29,4383,993
39,4384,1484
38,3902,1483
28,3903,992
27,3420,988
37,3416,1480
36,2937,1478
26,2939,990
35,2446,1478
25,2450,989
24,1968,989
34,1964,1478
33,1480,1476
23,1481,989
32,998,1477
22,999,990
20,27,989
30,28,1477
31,512,1474
21,511,988
40,29,1957
50,28,2446
51,516,2443
41,515,1956
42,999,1957
52,997,2444
53,1476,2446
43,1479,1957
44,1959,1958
54,1959,2448
55,2444,2448
45,2445,1959
56,2930,2449
46,2934,1960
47,3411,1965
57,3409,2451
58,3892,2455
48,3897,1966
49,4379,1967
59,4372,2454
59,4372,2456
59,4372,2455
69,4368,2935
68,3886,2937
67,3402,2936
66,2927,2935
65,2441,2934
64,1959,2936
63,1475,2936
62,998,2934
60,29,2936
61,514,2935
62,997,2932
66,2925,2935
56,2929,2448
46,2933,1960
36,2936,1477
26,2939,990
16,2941,508
6,2945,26
9,4387,31
19,4384,514
29,4381,993
39,4381,1485
49,4375,1968
59,4370,2456
69,4367,2935
6,2943,26
16,2938,508
26,2936,987
36,2933,1477
46,2930,1960
56,2927,2450
66,2923,2935
69,4365,2936
59,4369,2455
49,4370,1966
39,4377,1483
29,4378,993
19,4382,514
9,4384,30
